TransectID,Longitude,Latitude,LRR_m_yr,EPR_m_yr,NSM_m,NDVI_2019,NDVI_2024,BSI_2024,NDVI_decline,score_lrr,score_ndvi,score_bsi,Risk_Score,Risk_Level
24.0,84.8915,19.239028,0.0,0.0,0.0,0.46996198789452426,0.4971219868457766,-0.33083787234532086,-0.027159998951252318,0.49888527931715393,0.0,0.021994395956895223,0.253841518849956,Low
27.0,84.888122,19.235467,-7.343,-12.727,-140.0,0.3640699873316575,0.025897060583398565,-0.03933605200193932,0.33817292674825894,0.9666220778393528,0.8715645359634381,0.6794833973662526,0.8806770791819585,Critical
28.0,84.886996,19.23428,0.0,0.0,0.0,0.386895303788123,0.40289212180422096,-0.2672438236660576,-0.01599681801609798,0.49888527931715393,0.026631688323724242,0.16543222256275644,0.29051859066824554,Low
29.0,84.88587,19.233092,0.0,0.0,0.0,0.30235319252024234,0.30013608108164386,-0.22074837008642353,0.0022171114385984847,0.49888527931715393,0.07008415005532928,0.2703037781096061,0.32452864029709694,Low
30.0,84.884745,19.231905,0.0,0.0,0.0,0.3895834456762424,0.37988624270101284,-0.24152522103875218,0.00969720297522958,0.49888527931715393,0.08792919508269743,0.22344111711837852,0.32050962160706187,Low
32.0,84.882493,19.229531,0.0,0.0,0.0,0.5372735454195526,0.5272055131007551,-0.31429632717090195,0.010068032318797493,0.49888527931715393,0.08881387226893668,0.059304228210035045,0.28794764698126496,Low
33.0,84.881463,19.228254,0.0,0.0,0.0,0.35447475228292225,0.3392474450014027,-0.25072987428423665,0.015227307281519553,0.49888527931715393,0.10112221015056291,0.20267981187656584,0.320315265079059,Low
35.0,84.879211,19.22588,0.0,0.0,0.0,0.37984784159509116,0.3651958621330951,-0.2530627370916416,0.01465197946199609,0.49888527931715393,0.09974966667370626,0.19741798663012686,0.3188511369867142,Low
36.0,84.878086,19.224692,0.0,0.0,0.0,0.5294430965001469,0.508926260911558,-0.27726347667631207,0.020516835588588855,0.49888527931715393,0.11374128979028916,0.14283266677123443,0.3121315599499106,Low
37.0,84.87696,19.223505,0.0,,,0.3079759166099737,0.3162460683297466,-0.1798520755879623,-0.008270151719772911,0.49888527931715393,0.04506497985420045,0.3625463026998879,0.3354713941548147,Low
38.0,84.875834,19.222318,0.0,0.0,0.0,0.31627113426062864,0.300783853762995,-0.22194379224449587,0.015487280497633649,0.49888527931715393,0.10174242097615867,0.26760747617897757,0.3334868611872201,Low
40.0,84.871559,19.221997,0.0,0.0,0.0,0.4574572497769558,0.4596714350907676,-0.2880212645323424,-0.0022141853138117895,0.49888527931715393,0.059512529415509365,0.11856823100715196,0.2910100446846602,Low
41.0,84.869466,19.222063,-0.769,-0.606,-6.667,0.5184533608198847,0.4678464631563914,-0.3405892239953788,0.0506068976634933,0.5478692910376457,0.18552630872667633,0.0,0.32959253813682576,Low
