system:index,MNDWI,True_Class,.geo
0000000000000000002f_0,-0.4483277,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.77504642493598,19.38299380121112]}"
00000000000000000030_0,-0.37791884,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.8045111662551,19.150240311095754]}"
00000000000000000032_0,-0.47393745,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.68234028761485,19.384520937194125]}"
00000000000000000034_0,-0.4095771,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.72141700247404,19.16066076839154]}"
00000000000000000035_0,-0.46538144,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.88697650933727,19.414434836155305]}"
00000000000000000039_0,-0.54914814,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.70875075696796,19.287413054980803]}"
0000000000000000003a_0,-0.5032997,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.68584371722291,19.27295017890648]}"
0000000000000000003b_0,-0.46961328,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.85346934923962,19.267829781786997]}"
0000000000000000003e_0,0.055928443,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.79436020354456,19.143862272578506]}"
00000000000000000070_0,-0.00449067,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.90009191248542,19.272321358207595]}"
00000000000000000071_0,-0.021321965,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.75537332021376,19.114577194316208]}"
00000000000000000073_0,0.055392567,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.78762283891365,19.162816725073426]}"
00000000000000000099_0,0.4072229,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.74037145496897,19.143413114936443]}"
000000000000000000ab_0,0.5442443,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.73776634064502,19.140628337555675]}"
000000000000000000af_0,0.41372144,Land,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.71045755600778,19.110355112480846]}"
00000000000000000000_0,0.5793499,Water,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.89290539021246,19.145569071618333]}"
00000000000000000005_0,0.64746946,Water,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.87763403038242,19.181322019926288]}"
00000000000000000009_0,0.5443038,Water,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.88365274278603,19.076668289326363]}"
0000000000000000000a_0,0.6089965,Water,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.89586983065006,19.196862874341555]}"
00000000000000000014_0,0.62880003,Water,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.90817675004249,19.238275208939466]}"
0000000000000000001d_0,0.6263736,Water,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.86406946959222,19.15338441459017]}"
00000000000000000025_0,0.65622354,Water,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.78816182808413,19.082237844087906]}"
00000000000000000026_0,0.64620936,Water,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.86128469221146,19.154911550573175]}"
00000000000000000028_0,0.55944055,Water,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.88464088959856,19.05528838556432]}"
0000000000000000002b_0,0.6248873,Water,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.89811561886036,19.166050660096257]}"
00000000000000000031_0,0.63837636,Water,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.84843878364855,19.125087483140405]}"
00000000000000000033_0,0.63975155,Water,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.83298776076168,19.143772441050093]}"
00000000000000000036_0,0.6141869,Water,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.9119496742358,19.20036630394962]}"
00000000000000000037_0,0.6423358,Water,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.85912873552957,19.16515234481214]}"
00000000000000000038_0,-0.3074065,Water,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.84250990277336,19.230190371382392]}"
00000000000000000042_0,0.065715715,Water,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.68054365704661,19.367093620682205]}"
