TransectID,EPR_m_yr,NSM_m,LRR_m_yr,R2,SCE_m,p_value
298,5.3441,28.3648,5.3441,0.014,397.1083,0.7798
299,7.4392,56.7365,7.4392,0.0774,264.7704,0.3811
300,-3.6866,79.5744,-3.6866,0.0064,477.4463,0.8048
301,24.9018,576.9141,24.9018,0.1517,576.9141,0.2107
302,-6.295,9.9468,-6.295,0.0267,348.1386,0.612
303,-3.6697,18.9104,-3.6697,0.0044,652.4119,0.8384
304,23.7888,407.8187,23.7888,0.2952,407.8187,0.0679
305,7.5305,139.2552,7.5305,0.0306,467.4999,0.6527
306,9.8519,18.9104,9.8519,0.0631,340.3868,0.4311
307,13.2568,434.9277,13.2568,0.046,680.7558,0.5031
308,-5.6342,0.0,-5.6342,0.0065,775.8497,0.8033
309,49.4905,875.3176,49.4905,0.2631,915.1047,0.0882
310,-1.389,189.1691,-1.389,0.0021,302.671,0.887
311,25.8948,416.1684,25.8948,0.2338,416.1684,0.1113
312,19.8239,179.0411,19.8239,0.1686,507.2805,0.1849
313,3.1301,149.1983,3.1301,0.0236,149.1983,0.6336
314,16.4366,368.8817,16.4366,0.3212,368.8817,0.0547
315,32.0661,417.7636,32.0661,0.2919,507.2846,0.0697
316,3.2729,141.827,3.2729,0.0204,226.9233,0.6577
317,8.8601,245.8341,8.8601,0.2234,245.8341,0.1207
318,-8.795,47.2812,-8.795,0.0377,624.1126,0.5454
319,17.1638,274.2893,17.1638,0.1078,652.6212,0.2975
320,22.2568,85.1246,22.2568,0.1133,662.0811,0.2847
321,-3.3732,94.5827,-3.3732,0.0077,359.4146,0.7857
322,-4.3323,0.0,-4.3323,0.0056,482.3751,0.8171
323,32.7402,226.9986,32.7402,0.2292,822.8715,0.1154
324,10.3511,198.6232,10.3511,0.0695,312.1216,0.4076
325,9.4598,377.9763,9.4598,0.0326,507.2842,0.5742
326,15.4855,520.094,15.4855,0.0943,520.094,0.3584
327,2.3481,18.917,2.3481,0.2733,56.7511,0.0812
328,4.3821,0.0,4.3821,0.1545,139.2535,0.2063
329,10.4684,0.0,10.4684,0.0924,348.1354,0.3369
330,0.5217,169.0928,0.5217,0.0008,179.0396,0.9306
331,0.6608,89.5201,0.6608,0.0028,119.3604,0.8713
332,-4.069,0.0004,-4.069,0.0285,179.0389,0.6002
333,2.2606,0.0003,2.2606,0.0018,497.3338,0.8961
334,2.0868,149.1981,2.0868,0.002,477.4402,0.8915
335,3.5055,236.4578,3.5055,0.0161,387.791,0.6942
336,20.438,368.8757,20.438,0.135,567.5007,0.24
337,6.4158,198.6263,6.4158,0.0324,491.8362,0.5754
338,24.1018,437.6573,24.1018,0.1675,497.3376,0.1865
339,9.1468,268.561,9.1468,0.1077,328.2413,0.2977
