TransectID,EPR_m_yr,NSM_m,LRR_m_yr,R2,SCE_m,p_value,Longitude,Latitude
501,34.3448,529.4185,34.3448,0.2772,529.4185,0.0787,84.757934,19.129759
502,24.7274,596.7975,24.7274,0.1836,596.7975,0.1646,84.759979,19.129534
503,1.0578,9.4538,1.0578,0.6713,9.4538,0.0011,84.760898,19.130918
504,60.5492,805.6771,60.5492,0.3807,805.6771,0.0326,84.759902,19.132229
505,18.4445,794.1076,18.4445,0.0331,822.4687,0.5715,84.759281,19.133897
506,10.7465,198.9328,10.7465,0.0571,437.652,0.4544,84.75827,19.133577
507,17.6327,19.8933,17.6327,0.1182,596.7986,0.2738,84.757312,19.132229
508,3.3055,56.7228,3.3055,0.0039,425.4206,0.8466,84.756047,19.131668
509,-1.6694,29.84,-1.6694,0.0005,954.8784,0.9466,84.755935,19.130073
510,41.8038,447.5996,41.8038,0.772,447.5996,0.0002,84.754694,19.128995
511,16.3438,179.04,16.3438,0.3368,318.2933,0.1013,84.753169,19.129265
512,-7.7037,28.3618,-7.7037,0.0463,311.9799,0.5252,84.752813,19.129567
513,5.4255,0.0,5.4255,0.0936,218.8266,0.3336,84.753451,19.113903
514,21.1453,576.9052,21.1453,0.211,576.9052,0.133,84.754097,19.113634
515,-9.4904,0.0,-9.4904,0.1268,255.281,0.2824,84.75443,19.113607
516,5.808,9.9467,5.808,0.0108,387.9176,0.7482,84.755899,19.089379
517,-11.1291,447.5971,-11.1291,0.0273,596.7962,0.6078,84.756317,19.089649
518,2.2152,141.8416,2.2152,0.0132,226.9468,0.7223,84.756586,19.091139
519,0.0,0.0,0.0,,0.0,,84.755195,19.092074
520,-5.5546,0.0,-5.5546,0.0168,397.1564,0.6882,84.754161,19.091313
521,24.4492,188.9859,24.4492,0.4952,427.7048,0.0107,84.755664,19.09962
522,-11.9017,0.0,-11.9017,0.056,482.2183,0.459,84.756586,19.105826
523,2.0829,0.0,2.0829,0.1545,66.1886,0.2063,84.756586,19.101614
524,11.5812,0.0,11.5812,0.1545,368.0251,0.2063,84.755174,19.100698
525,43.5754,340.4036,43.5754,0.3152,851.0102,0.0575,84.75443,19.099148
526,6.5731,0.0,6.5731,0.1545,208.8793,0.2063,84.753542,19.097734
527,8.0341,0.0,8.0341,0.1545,255.3056,0.2063,84.751466,19.097478
528,1.7853,0.0,1.7853,0.1545,56.7341,0.2063,84.750657,19.098968
529,0.0,0.0,0.0,,0.0,,84.74931,19.099945
530,11.9021,0.0,11.9021,0.1545,378.2223,0.2063,84.74904,19.101434
531,11.902,0.0,11.902,0.1545,378.2195,0.2063,84.74904,19.102667
532,11.9019,0.0,11.9019,0.1545,378.2166,0.2063,84.749579,19.1039
533,0.0,0.0,0.0,,0.0,,84.749579,19.105133
534,0.0,0.0,0.0,,0.0,,84.750118,19.106366
535,0.0,0.0,0.0,,0.0,,84.751368,19.107436
536,0.0,0.0,0.0,,0.0,,84.751248,19.108783
537,0.0,0.0,0.0,,0.0,,84.752005,19.110322
538,29.6313,417.7593,29.6313,0.2972,417.7593,0.0668,84.752624,19.111478
539,15.7693,0.0,15.7693,0.1545,501.1141,0.2063,84.7547,19.111193
540,0.0,0.0,0.0,,0.0,,84.756241,19.1104
541,6.2483,0.0,6.2483,0.025,397.1141,0.6234,84.756856,19.108726
542,-5.9471,0.0,-5.9471,0.0423,358.0786,0.5213,84.758723,19.108783
543,14.12,0.0,14.12,0.0279,944.9273,0.6035,84.759964,19.107705
544,1.9476,0.0,1.9476,0.0004,895.1937,0.9507,84.761129,19.107705
545,10.1205,0.0,10.1205,0.0566,477.4364,0.4566,84.762475,19.108244
546,0.2773,113.4622,0.2773,0.0003,141.8279,0.9604,84.762245,19.106793
547,4.6139,85.0974,4.6139,0.013,340.3894,0.7385,84.761437,19.105304
548,-0.0,0.0,-0.0,0.0003,0.0,0.9609,84.760359,19.10407
549,10.5134,0.0,10.5134,0.1492,340.3947,0.2149,84.758742,19.10335
550,15.1742,0.0,15.1742,0.1545,482.2015,0.2063,84.757395,19.111536
551,15.077,358.0777,15.077,0.2358,358.0777,0.13,84.759434,19.101507
552,3.7357,28.3646,3.7357,0.1089,151.2778,0.2947,84.760089,19.112592
553,36.4808,427.7028,36.4808,0.3401,447.5959,0.0597,84.761624,19.103663
554,16.8717,19.8931,16.8717,0.0786,656.4737,0.4037,84.762582,19.102315
555,-3.7244,39.7863,-3.7244,0.0076,387.9162,0.7983,84.76439,19.102854
556,-1.4733,79.5725,-1.4733,0.0022,358.0763,0.8909,84.765348,19.104202
557,-5.4386,217.4693,-5.4386,0.0153,652.4096,0.7169,84.765749,19.106078
558,24.4696,510.5776,24.4696,0.1885,510.5776,0.1822,84.765479,19.107303
559,3.9647,0.0,3.9647,0.0015,954.8717,0.9057,84.763532,19.106897
560,24.3775,397.1203,24.3775,0.1366,538.9492,0.2633,84.762515,19.105606
561,-16.9912,0.0,-16.9912,0.0382,775.3377,0.5646,84.761706,19.104116
562,16.2289,0.0,16.2289,0.091,562.5999,0.3406,84.761709,19.109322
563,-7.5121,0.0,-7.5121,0.0104,925.0339,0.7528,84.760468,19.108244
564,0.0,0.0,0.0,0.1545,0.0004,0.2063,84.759227,19.109322
565,9.8187,0.0,9.8187,0.1545,312.0178,0.2063,84.757395,19.109299
566,6.5731,0.0,6.5731,0.1545,208.8794,0.2063,84.756461,19.11067
567,2.8171,0.0,2.8171,0.1545,89.5198,0.2063,84.754936,19.111478
568,35.2306,278.5062,35.2306,0.7116,507.2791,0.0006,84.753128,19.112017
569,0.0,0.0,0.0,,0.0,,84.751735,19.112412
570,10.0162,0.0,10.0162,0.1545,318.2928,0.2063,84.753108,19.113364
571,-2.504,0.0,-2.504,0.0099,268.5593,0.7581,84.75435,19.112286
572,5.0081,0.0,5.0081,0.1545,159.146,0.2063,84.756441,19.112556
573,10.9552,0.0,10.9552,0.1545,348.1321,0.2063,84.75825,19.112556
574,21.1104,447.5971,21.1104,0.0925,537.1166,0.3364,84.760341,19.112286
575,4.4864,0.0,4.4864,0.0316,288.4511,0.5805,84.761583,19.111748
576,1.4259,0.0,1.4259,0.0013,387.9168,0.9125,84.763391,19.111209
577,30.2585,358.0767,30.2585,0.5417,358.0767,0.0098,84.764632,19.110131
578,19.1091,453.842,19.1091,0.2358,453.842,0.13,84.765479,19.10919
579,-1.0769,0.0,-1.0769,0.0108,119.3589,0.7608,84.763816,19.109053
580,19.5802,268.5582,19.5802,0.0952,626.6359,0.3292,84.764058,19.132229
581,-42.9052,0.0,-42.9052,0.3171,567.2213,0.0566,84.76521,19.132853
582,47.7854,805.6741,47.7854,0.2574,835.5138,0.0923,84.766257,19.134116
583,52.0979,686.3147,52.0979,0.4543,686.3147,0.0162,84.766676,19.135463
584,32.0294,434.8594,32.0294,0.4179,434.8594,0.0231,84.767366,19.136553
585,15.6676,217.4293,15.6676,0.4361,236.3362,0.0194,84.766288,19.136913
586,-10.4335,129.3058,-10.4335,0.1649,208.8786,0.1902,84.765409,19.136002
587,39.0703,283.6069,39.0703,0.4112,699.5646,0.0246,84.764132,19.134958
588,0.1043,19.8932,0.1043,0.0,328.2382,0.9902,84.762927,19.134385
589,13.1462,0.0,13.1462,0.052,447.5976,0.4761,84.761983,19.133038
590,18.1891,557.0099,18.1891,0.0616,557.0099,0.4367,84.763508,19.132768
591,23.4829,726.0991,23.4829,0.0516,736.0456,0.5016,84.766209,19.103932
592,65.0041,656.473,65.0041,0.4994,656.473,0.0151,84.766585,19.10528
593,-3.3983,141.8304,-3.3983,0.0111,340.3935,0.7578,84.768713,19.102983
594,2.1538,169.0912,2.1538,0.0163,208.8774,0.7083,84.769267,19.103124
595,27.5587,507.274,27.5587,0.2842,507.274,0.0913,84.768791,19.106088
596,17.4925,358.076,17.4925,0.1963,358.076,0.1723,84.767266,19.10528
597,43.1034,510.5867,43.1034,0.5427,510.5867,0.0097,84.766288,19.104452
598,18.6477,784.7957,18.6477,0.0282,879.3491,0.6215,84.765749,19.103257
599,16.2286,29.8397,16.2286,0.3568,208.8779,0.0523,84.764932,19.101776
600,-17.2008,0.0,-17.2008,0.1453,338.1836,0.2475,84.763407,19.100968
601,9.1498,0.0,9.1498,0.0381,312.0319,0.5651,84.76521,19.100814
602,1.0994,0.0,1.0994,0.0332,69.6259,0.592,84.766572,19.101776
603,6.1993,122.9197,6.1993,0.0306,472.7689,0.6069,84.767635,19.103024
604,16.8269,159.1447,16.8269,0.2243,328.2362,0.1412,84.769055,19.103932
605,57.158,652.411,57.158,0.7235,765.874,0.0009,84.770061,19.105234
606,-0.8104,37.8208,-0.8104,0.0003,406.5726,0.9587,84.771139,19.105915
607,22.8915,274.2005,22.8915,0.2598,538.9463,0.1093,84.770869,19.105787
608,0.0,0.0,0.0,,0.0,,84.782997,19.111898
609,0.0,0.0,0.0,,0.0,,84.783805,19.112336
610,8.338,328.2332,8.338,0.0359,417.7514,0.5768,84.784399,19.112825
611,20.3561,487.3765,20.3561,0.1525,487.3765,0.235,84.78503,19.113095
612,0.0,0.0,0.0,,0.0,,84.785961,19.113888
613,0.0,0.0,0.0,,0.0,,84.7865,19.114271
614,18.3627,477.4293,18.3627,0.2308,477.4293,0.1139,84.787788,19.11552
615,18.3627,477.4296,18.3627,0.2308,477.4296,0.1139,84.786546,19.114442
616,27.006,415.9994,27.006,0.2532,491.6358,0.1146,84.787308,19.115888
617,3.3574,340.3616,3.3574,0.0079,415.9975,0.7953,84.788656,19.116628
618,21.1895,160.7222,21.1895,0.0927,671.2526,0.3361,84.790273,19.120227
619,50.5321,467.4823,50.5321,0.5927,656.4646,0.0034,84.790261,19.121449
620,9.077,89.518,9.077,0.0194,537.1078,0.6659,84.788736,19.121719
621,21.3188,358.0717,21.3188,0.0818,755.9292,0.3676,84.789533,19.121988
622,25.0237,567.2471,25.0237,0.1948,567.2471,0.1509,84.790812,19.122563
623,23.3011,0.0,23.3011,0.1753,576.8923,0.1755,84.792583,19.122527
